Date,Store_Type,Category,Sales,Units_Sold,Customer_Rating
2023-01-01,Store,Electronics,1000,10,3.5
2023-01-02,Store,Clothing,1060,13,3.7
2023-01-03,Store,Books,1120,16,3.9
2023-01-04,Store,Home,1180,19,4.1
2023-01-05,Store,Electronics,1240,22,4.3
2023-01-06,Store,Clothing,1300,15,4.5
2023-01-07,Store,Books,1360,18,4.7
2023-01-08,Store,Home,1070,21,4.9
2023-01-09,Store,Electronics,1130,24,5.1
2023-01-10,Store,Clothing,1190,27,5.3
2023-01-11,Store,Books,1250,20,3.5
2023-01-12,Store,Home,1310,23,3.7
2023-01-13,Store,Electronics,1370,26,3.9
2023-01-14,Store,Clothing,1430,29,4.1
2023-01-15,Store,Books,1140,32,4.3
2023-01-16,Store,Home,1200,25,4.5
2023-01-17,Store,Electronics,1260,28,4.7
2023-01-18,Store,Clothing,1320,31,4.9
2023-01-19,Store,Books,1380,34,5.1
2023-01-20,Store,Home,1440,37,5.3
2023-01-21,Store,Electronics,1500,30,3.5
2023-01-22,Store,Clothing,1210,33,3.7
2023-01-23,Store,Books,1270,36,3.9
2023-01-24,Store,Home,1330,39,4.1
2023-01-25,Store,Electronics,1390,42,4.3
2023-01-26,Store,Clothing,1450,35,4.5
2023-01-27,Store,Books,1510,38,4.7
2023-01-28,Store,Home,1570,41,4.9
2023-01-29,Store,Electronics,1280,44,5.1
2023-01-30,Store,Clothing,1340,47,5.3
2023-01-31,Store,Books,1400,40,3.5
2023-02-01,Store,Home,1460,43,3.7
2023-02-02,Store,Electronics,1520,46,3.9
2023-02-03,Store,Clothing,1580,49,4.1
2023-02-04,Store,Books,1640,52,4.3
2023-02-05,Store,Home,1350,45,4.5
2023-02-06,Store,Electronics,1410,48,4.7
2023-02-07,Store,Clothing,1470,51,4.9
2023-02-08,Store,Books,1530,54,5.1
2023-02-09,Store,Home,1590,57,5.3
2023-02-10,Store,Electronics,1650,50,3.5
2023-02-11,Store,Clothing,1710,53,3.7
2023-02-12,Store,Books,1420,56,3.9
2023-02-13,Store,Home,1480,59,4.1
2023-02-14,Store,Electronics,1540,62,4.3
2023-02-15,Store,Clothing,1600,55,4.5
2023-02-16,Store,Books,1660,58,4.7
2023-02-17,Store,Home,1720,61,4.9
2023-02-18,Store,Electronics,1780,64,5.1
2023-02-19,Store,Clothing,1490,67,5.3
2023-02-20,Store,Books,1550,60,3.5
2023-02-21,Store,Home,1610,63,3.7
2023-02-22,Store,Electronics,1670,66,3.9
2023-02-23,Store,Clothing,1730,69,4.1
2023-02-24,Store,Books,1790,72,4.3
2023-02-25,Store,Home,1850,65,4.5
2023-02-26,Store,Electronics,1560,68,4.7
2023-02-27,Store,Clothing,1620,71,4.9
2023-02-28,Store,Books,1680,74,5.1
2023-03-01,Store,Home,1740,77,5.3
2023-03-02,Non_Store,Electronics,1800,70,3.5
2023-03-03,Non_Store,Clothing,1860,73,3.7
2023-03-04,Non_Store,Books,1920,76,3.9
2023-03-05,Non_Store,Home,1630,79,4.1
2023-03-06,Non_Store,Electronics,1690,82,4.3
2023-03-07,Non_Store,Clothing,1750,75,4.5
2023-03-08,Non_Store,Books,1810,78,4.7
2023-03-09,Non_Store,Home,1870,81,4.9
2023-03-10,Non_Store,Electronics,1930,84,5.1
2023-03-11,Non_Store,Clothing,1990,87,5.3
2023-03-12,Non_Store,Books,1700,80,3.5
2023-03-13,Non_Store,Home,1760,83,3.7
2023-03-14,Non_Store,Electronics,1820,86,3.9
2023-03-15,Non_Store,Clothing,1880,89,4.1
2023-03-16,Non_Store,Books,1940,92,4.3
2023-03-17,Non_Store,Home,2000,85,4.5
2023-03-18,Non_Store,Electronics,2060,88,4.7
2023-03-19,Non_Store,Clothing,1770,91,4.9
2023-03-20,Non_Store,Books,1830,94,5.1
2023-03-21,Non_Store,Home,1890,97,5.3
2023-03-22,Non_Store,Electronics,1950,90,3.5
2023-03-23,Non_Store,Clothing,2010,93,3.7
2023-03-24,Non_Store,Books,2070,96,3.9
2023-03-25,Non_Store,Home,2130,99,4.1
2023-03-26,Non_Store,Electronics,1840,102,4.3
2023-03-27,Non_Store,Clothing,1900,95,4.5
2023-03-28,Non_Store,Books,1960,98,4.7
2023-03-29,Non_Store,Home,2020,101,4.9
2023-03-30,Non_Store,Electronics,2080,104,5.1
2023-03-31,Non_Store,Clothing,2140,107,5.3
2023-04-01,Non_Store,Books,2200,100,3.5
2023-04-02,Non_Store,Home,1910,103,3.7
2023-04-03,Non_Store,Electronics,1970,106,3.9
2023-04-04,Non_Store,Clothing,2030,109,4.1
2023-04-05,Non_Store,Books,2090,112,4.3
2023-04-06,Non_Store,Home,2150,105,4.5
2023-04-07,Non_Store,Electronics,2210,108,4.7
2023-04-08,Non_Store,Clothing,2270,111,4.9
2023-04-09,Non_Store,Books,1980,114,5.1
2023-04-10,Non_Store,Home,2040,117,5.3
